Periodo,Total,Urbano,Rural,Hombre,Mujer
1/12/2007,1155872,687714,468158,679118,476753
1/6/2008,1130699,696949,433750,665939,464760
1/12/2008,957978,588824,369155,549097,408881
1/12/2009,1071615,664855,406760,636204,435411
1/6/2010,1041266,663688,377578,596889,444377
1/12/2010,889255,559150,330106,550026,339229
1/6/2011,781525,505913,275612,470628,310897
1/12/2011,706458,421914,284544,428949,277509
1/6/2012,664982,410168,254815,400104,264878
1/12/2012,603890,345283,258607,349831,254059
1/6/2013,818126,528550,289576,489132,328994
1/12/2013,809269,477717,331552,490630,318640
1/3/2014,890360,517872,372489,567672,322688
1/6/2014,851939,510987,340952,532653,319286
1/9/2014,893705,489443,404261,578626,315078
1/12/2014,925774,569983,355791,550060,375714
1/3/2015,985698,578399,407299,596667,389030
1/6/2015,977785,600976,376810,593873,383913
1/9/2015,1121988,688122,433866,668351,453637
1/12/2015,1050646,653874,396772,621028,429618
1/3/2016,1348231,902334,445897,795506,552725
1/6/2016,1277717,801621,476096,757352,520365
1/9/2016,1560342,963920,596421,915215,645127
1/12/2016,1564825,1001485,563340,935989,628836
1/3/2017,1726030,1119135,606894,1046955,679074
1/6/2017,1668577,1039886,628691,1003556,665021
1/9/2017,1679858,1054659,625199,966904,712954
1/12/2017,1602909,1009671,593239,932908,670002
1/3/2018,1498139,941409,556730,921488,576651
1/6/2018,1544373,976038,568335,953103,591270
1/9/2018,1605884,987731,618153,960588,645296
1/12/2018,1323724,878428,445297,805920,517804
1/3/2019,1524118,996390,527727,973124,550993
1/6/2019,1667278,1035658,631620,1001520,665758
1/9/2019,1649346,1024458,624888,1006512,642835
1/12/2019,1440983,914201,526782,893779,547204
1/9/2020,1949825,1289924,659901,1182327,767498
1/12/2020,1847631,1297291,550340,1165174,682457
1/1/2021,1880451,1225634,654816,1180210,700241
1/2/2021,1923400,1273912,649488,1253564,669836
1/3/2021,1853492,1232621,620871,1205517,647975
1/4/2021,1941860,1287448,654412,1194094,747766
1/5/2021,1970477,1276366,694112,1239782,730695
1/6/2021,1917390,1310574,606816,1205167,712224
1/7/2021,2035106,1389069,646037,1255730,779376
